id,name,priceLabel,category,url,imageUrl,isVisible,availability,inventoryLevel,dateModified
1383,ErgoDC Ergonomic Office Chair High Back Full Mesh Fabric Grey,AUD $220.00,High back full mesh fabric chair in grey,https://www.retaildisplaydirect.com.au/ergodc-ergonomic-office-chair-high-back-full-mesh-fabric-grey/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1383/images/3677/A__88773.1627967746.500.750.jpg?c=2,true,available,28,2026-08-12T07:04:22+00:00
1354,ErgoDC Ergonomic Office Chair High Back Full Mesh Grey,AUD $237.60,High back full mesh chair in grey,https://www.retaildisplaydirect.com.au/ergonomic-office-chair-high-back-mesh-grey/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1354/images/2446/A__62999.1668132047.500.750.jpg?c=2,true,available,33,2026-08-12T07:08:38+00:00
1376,ErgoDC Ergonomic Executive Office Chair High Back Full Mesh Grey,AUD $261.00,Executive high back full mesh chair,https://www.retaildisplaydirect.com.au/ergodc-ergonomic-executive-office-chair-high-back-full-mesh-grey/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1376/images/3526/A__50829.1668132253.500.750.jpg?c=2,true,available,9,2026-08-12T07:04:55+00:00
1350,ERGOUP Office Chair 07-35 Black,AUD $574.20,ERGOUP 07-35 ergonomic chair in black,https://www.retaildisplaydirect.com.au/ergoup-office-chair-07-35-black/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1350/images/2389/A__05910.1682919820.500.750.jpg?c=2,true,available,20,2026-08-12T07:08:44+00:00
1389,ERGOUP Office Chair 07-35  Black Series,AUD $619.20,ERGOUP 07-35 Black Series ergonomic chair,https://www.retaildisplaydirect.com.au/ergoup-office-chair-07-35-black-series/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1389/images/3795/A__04886.1682919494.500.750.jpg?c=2,true,available,13,2026-08-12T07:02:32+00:00
1352,ERGOUP Office Chair GTC-DV-10E,AUD $780.16,ERGOUP GTC-DV-10E ergonomic chair,https://www.retaildisplaydirect.com.au/ergoup-office-chair-gtc-dv-10e/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1352/images/2415/B__87864.1785474724.500.750.jpg?c=2,true,available,6,2026-08-12T07:08:46+00:00
1248,Ergonomic Desk Black 1400mm,AUD $386.71,"Height adjustable desk in black, 1400mm",https://www.retaildisplaydirect.com.au/ergonomic-desk-black/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1248/images/5267/SSDB14BLA__09583.1718865601.500.750.jpg?c=2,true,available,38,2026-08-12T07:20:41+00:00
1228,Sit Stand Desk White 1400mm,AUD $386.71,"Sit stand desk in white, 1400mm",https://www.retaildisplaydirect.com.au/sit-stand-desk-for-sale/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1228/images/5255/SSDW14W__22198.1718864728.500.750.jpg?c=2,true,available,30,2026-08-12T07:20:47+00:00
1246,Ergonomic Office Desk Black 1600mm,AUD $403.71,"Height adjustable office desk in black, 1600mm",https://www.retaildisplaydirect.com.au/ergonomic-office-desk/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1246/images/5270/SSDB16B__07805.1718865661.500.750.jpg?c=2,true,available,38,2026-08-12T07:20:41+00:00
1240,Electric Sit Stand Desk Black 1600mm,AUD $403.71,"Electric sit stand desk in black, 1600mm",https://www.retaildisplaydirect.com.au/electric-sit-stand-desk/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1240/images/5262/SSDW16B__69704.1718865231.500.750.jpg?c=2,true,available,42,2026-08-12T07:20:45+00:00
1244,Electric Standing Desk Black 1800mm,AUD $420.71,"Electric standing desk in black, 1800mm",https://www.retaildisplaydirect.com.au/electric-standing-desk/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1244/images/5264/SSDW18B__65042.1718865334.500.750.jpg?c=2,true,available,31,2026-08-12T07:20:45+00:00
1503,Sit Stand Desk Bamboo 1400mm,AUD $484.84,"Bamboo top sit stand desk, 1400mm",https://www.retaildisplaydirect.com.au/sit-stand-desk-bamboo-1400mm/,https://cdn11.bigcommerce.com/s-ugqmr0qfvf/products/1503/images/5104/SSDBAM14W__88156.1718605030.500.750.jpg?c=2,true,available,7,2026-08-12T07:02:17+00:00
